发送时间：2019-01-02 09:59:12 	 服务器地址：http://122.11.59.132:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-01-02 10:07:29 	 服务器地址：http://122.11.59.132:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-01-02 10:08:20 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：发送失败 
发送时间：2019-01-02 10:09:48 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-01-02 10:42:39 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-01-02 10:44:02 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：发送失败 
发送时间：2019-01-02 10:45:02 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-01-02 11:14:07 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：发送失败 
发送时间：2019-01-02 11:16:18 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：发送失败 
发送时间：2019-01-02 11:23:07 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 11:29:02 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 11:32:28 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 11:37:16 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 11:40:54 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 11:41:35 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 11:44:29 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 11:50:40 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 11:52:36 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 11:55:35 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：发送失败 
发送时间：2019-01-02 11:56:41 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：发送失败 
发送时间：2019-01-02 11:57:35 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：发送失败 
发送时间：2019-01-02 12:03:07 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 13:37:27 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 13:40:25 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 13:42:01 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 13:43:55 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 14:40:57 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 17:34:14 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-01-02 17:44:30 	 服务器地址：http://122.11.59.132:80/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
